"","ZCTA5CE20","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","STATE_ABBR","TOTAL","Urbanicity"
"203","40442",0.7225,0.8244,0.1783,0.9009,"KY",1548,0
"204","41097",0.7708,0.9166,0.3842,0.905,"KY",7559,0
"205","42567",0.8343,0.8942,0.4577,0.6303,"KY",6216,0
"206","42376",0.6241,0.3049,0.2029,0.3209,"KY",6276,0
"207","40209",0.7781,0.2049,0.4199,0,"KY",450,1
"208","41183",0.6751,0.8154,0.1065,0.1748,"KY",1334,1
"209","41653",0.9571,0.7632,0.2212,0.9363,"KY",11561,0
"210","41039",0.6154,0.8237,0.4972,0.4725,"KY",2664,0
"211","40461",0.8117,0.4639,0.6028,0.2296,"KY",3315,0
"212","42348",0.688,0.7823,0.5067,0.4584,"KY",5512,0
"213","42039",0.3285,0.0918,0.1191,0.4536,"KY",1808,0
"214","41645",0.8072,0.9419,0.1153,0.5435,"KY",1420,0
"215","42328",0.8985,0.9053,0.2123,0.3335,"KY",1452,0
"216","40330",0.8044,0.6646,0.5527,0.7232,"KY",19113,0
"217","41189",0.8936,0.8541,0,0.3757,"KY",2552,0
"218","42501",0.9594,0.9231,0.2476,0.9413,"KY",18020,1
"219","41045",0.8373,0.6287,0.4601,0.4389,"KY",1647,0
"220","40342",0.6743,0.7271,0.43,0.6255,"KY",21465,1
"221","42544",0.8696,0.8892,0.1191,0.2737,"KY",5727,0
"222","42259",0.8984,0.5269,0.3352,0.4454,"KY",1153,0
"223","41749",0.7926,0.6266,0.1699,0.9902,"KY",3278,0
"224","41821",0.9953,0.7704,0,0.2994,"KY",813,0
"225","41731",0.9853,0.6666,0.3845,0.6337,"KY",1120,0
"226","42345",0.8199,0.7011,0.4814,0.8164,"KY",10853,0
"227","40409",0.9335,0.973,0.1153,0.9711,"KY",4150,0
"228","41004",0.6963,0.3969,0.3738,0.6167,"KY",4325,0
"229","42456",0.6473,0.6138,0.2002,0.4052,"KY",1413,0
"230","41274",0.9986,0.9577,0.2281,0.6366,"KY",662,0
"231","41663",0.9903,0.7336,0.3745,0.1354,"KY",553,0
"232","40845",0.9861,0.1845,0,0.2023,"KY",708,0
"233","42757",0.8719,0.7349,0.547,0.465,"KY",2537,0
"234","41250",0.914,0.786,0,0.284,"KY",1380,0
"235","42635",0.9872,0.3962,0.8086,0.8473,"KY",4871,0
"236","40729",0.8503,0.4933,0.1346,0.4439,"KY",5814,0
"237","42361",0.8076,0.8019,0.1699,0.3143,"KY",626,0
"238","40176",0.906,0.6116,0.1759,0.4988,"KY",1019,0
"239","40070",0.4813,0.9132,0.1091,0.0457,"KY",429,0
"240","41547",0.9735,0.4217,0,0.2684,"KY",197,0
"241","40145",0.4826,0.4205,0.493,0.5407,"KY",859,0
"242","40868",0.9952,0.128,0,0.3545,"KY",1347,0
"243","40058",0.6743,0.7789,0.292,0,"KY",90,0
"244","40808",0.8389,0.7825,0.4432,0,"KY",49,0
"245","41558",0.8979,0.3143,0.1834,0.5259,"KY",666,0
"246","41360",0.6537,0.0658,0.0978,0.3158,"KY",511,0
"247","41650",0.946,0.9822,0,0.2678,"KY",413,0
"248","42333",0.8026,0.0476,0.1065,0.3206,"KY",1286,0
"249","41616",0.9931,0.5167,0,0.3576,"KY",708,0
"250","40464",0.4912,0.0798,0.2081,0.1654,"KY",1120,0
"251","41631",0.8587,0.9904,0,0.3548,"KY",1356,0
"252","42533",0.5816,0.6968,0.5753,0.1702,"KY",903,1
"253","41231",0.7924,0.4017,0,0.3718,"KY",1054,0
"254","41149",0.8067,0.9332,0,0.3586,"KY",621,0
"255","40824",0.7497,0.3163,0.2476,0.1551,"KY",530,1
"256","40854",0.9601,0.8553,0.0901,0.4557,"KY",1083,1
"257","41774",0.8155,0.4503,0.1282,0.5704,"KY",2223,0
"258","40873",0.8601,0.9174,0.4838,0.4114,"KY",2167,0
"259","42442",0.7828,0.8213,0.1806,0.5932,"KY",3017,0
"260","41746",0.9822,0.8366,0,0.6688,"KY",686,0
"261","40865",0.9194,0.6175,0.1891,0.557,"KY",420,0
"262","42715",0.7945,0.1407,0,0.1065,"KY",317,0
"263","42338",0,0,0,0,"KY",102,0
"264","42037",0.5607,0.4671,0,0.1204,"KY",15,0
"265","40316",0.3592,0.72,0.1641,0.2634,"KY",203,0
"266","41643",0.8341,0.7692,0,0.1451,"KY",219,0
"267","40171",0.7805,0.9224,0,0.1562,"KY",197,0
"268","42323",0.9522,0.7658,0.1667,0.6881,"KY",932,0
"269","41760",0,0.0497,0,0,"KY",21,0
"270","40062",0.9637,0.2948,0,0.358,"KY",344,0
"271","40049",0.8284,0.4855,0,0.1455,"KY",107,0
"272","42066",0.8812,0.9074,0.7478,0.9287,"KY",23993,0
"273","42420",0.7117,0.9301,0.558,0.9149,"KY",38088,1
"274","42082",0.1587,0.3813,0.1408,0.1876,"KY",1951,0
"275","41015",0.6424,0.8331,0.2799,0.796,"KY",20941,1
"276","40601",0.5628,0.6721,0.6828,0.876,"KY",50313,1
"277","41175",0.7246,0.905,0.1806,0.7234,"KY",5560,0
"278","40299",0.0968,0.4753,0.6786,0.485,"KY",38402,1
"279","42458",0.3206,0.1924,0.1641,0.0627,"KY",1118,0
"280","40213",0.6813,0.6595,0.8397,0.6256,"KY",16327,1
"281","40067",0.3537,0.2265,0.7282,0.6686,"KY",5313,0
"282","40361",0.6856,0.8024,0.7223,0.693,"KY",18113,1
"283","41102",0.659,0.8196,0.271,0.8393,"KY",20837,1
"284","42028",0.7308,0.2643,0,0.0868,"KY",851,0
"285","42047",0.5563,0.8319,0.3489,0.2857,"KY",209,0
"286","41091",0.1182,0.2815,0.5868,0.1045,"KY",17899,1
"287","40204",0.331,0.0859,0.5417,0.8545,"KY",14353,1
"288","40059",0.0486,0.2334,0.5172,0.3378,"KY",17986,1
"289","41143",0.8621,0.6913,0.3714,0.9378,"KY",14902,0
"290","40347",0.2913,0.1834,0.6757,0.6253,"KY",2791,0
"291","41073",0.2692,0.3151,0.4038,0.4306,"KY",5773,1
"292","41042",0.4109,0.6543,0.7024,0.7546,"KY",51276,1
"293","42048",0.9179,0.7435,0.1496,0.2973,"KY",2386,0
"294","40203",0.9766,0.9382,0.7829,0.994,"KY",18964,1
"295","40489",0.8644,0.8032,0.3671,0.498,"KY",3801,0
"296","42445",0.5774,0.9279,0.4865,0.8547,"KY",11310,1
"297","42366",0.2885,0.1049,0.1346,0.6221,"KY",5413,0
"298","41041",0.8501,0.9741,0.2462,0.6926,"KY",7366,0
"299","41776",0.9813,0.5843,0,0.6124,"KY",1566,0
"300","40229",0.5621,0.6205,0.6531,0.4645,"KY",36788,1
"301","41014",0.9127,0.7516,0.7372,0.9363,"KY",7539,1
"302","42159",0.2032,0.6884,0.2405,0.1324,"KY",1165,0
"303","40023",0.0804,0.0811,0.2123,0.0553,"KY",4727,0
"304","41563",0.9667,0.6343,0,0.3171,"KY",342,0
"305","41562",0.905,0.5291,0.0852,0.7004,"KY",3071,0
"306","41531",0.978,0.9556,0,0.1927,"KY",1005,0
"307","40107",0.5849,0.2961,0.1008,0.5405,"KY",2229,0
"308","41408",0.9623,0.9074,0,0.5203,"KY",411,0
"309","42129",0.9254,0.9189,0.4435,0.825,"KY",6860,0
"310","41056",0.7578,0.8325,0.6287,0.9103,"KY",13958,1
"311","40119",0.5351,0.7124,0.3705,0.5301,"KY",1666,0
"312","42749",0.8912,0.9308,0.5741,0.8626,"KY",5139,0
"313","40484",0.824,0.585,0.4641,0.7345,"KY",10915,0
"314","41605",0.7551,0.9074,0,0.1267,"KY",738,0
"315","42343",0.9549,0.9104,0.1249,0.7722,"KY",1662,0
"316","40144",0.5675,0.1228,0.6171,0.2762,"KY",1933,0
"317","41722",0.9894,0.2009,0.1037,0.5582,"KY",1587,0
"318","41826",0.7044,0.4965,0.1191,0.258,"KY",993,0
"319","40460",0.7336,0.8017,0,0.4491,"KY",918,0
"320","42044",0.4648,0.5128,0.1861,0.3142,"KY",2552,0
"321","42455",0.7465,0.8588,0.7719,0.8428,"KY",3219,0
"322","41222",0.5833,0.2815,0.1008,0.3275,"KY",2182,0
"323","40823",0.9817,0.9789,0.1548,0.9869,"KY",4208,1
"324","41828",0.9721,0.6481,0.2896,0.299,"KY",748,0
"325","40741",0.8502,0.7419,0.3761,0.9606,"KY",22195,0
"326","41255",0.7503,0.9627,0.1465,0.6224,"KY",1053,0
"327","41465",0.9641,0.7931,0.083,0.9907,"KY",11768,0
"328","40312",0.9176,0.9112,0.4262,0.7772,"KY",5943,0
"329","40033",0.913,0.9519,0.6299,0.897,"KY",12704,0
"330","40328",0.8885,0.7701,0.4487,0.5806,"KY",1048,0
"331","40155",0.9613,0.4231,0.712,0.9521,"KY",1063,1
"332","42541",0.9308,0.9917,0.1667,0.357,"KY",586,0
"333","40152",0.6357,0.6272,0.3145,0.3719,"KY",514,0
"334","42634",0.9508,0.9703,0.1834,0.7982,"KY",1675,0
